J1726-4006    hfs+04     J1726-4006    hfs+04     17:26:33.37      7.0e-02   hfs+04     -40:06:02        4.0e+00   hfs+04     0.88277826565        1.0e-10   hfs+04     277        3.0e+00   hfs+04     0.21   3.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1727-2739    hfs+04     J1727-2739    hfs+04     17:27:30.99      1.2e-01   hfs+04     -27:39:00.5      1.7e+01   hfs+04     1.29309994235        1.6e-10   hfs+04     147        4.0e+00   hfs+04     1.60   1.7e-01   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1727-29      kle+10     J1727-29      kle+10     17:27:19         3.3e+01   kkl+11     -29:59           7.0e+00   kkl+11     *                          0  *          93         1.0e+01   kkl+11     *            0  *          RRAT                            *       *          pksmb                                            
B1726-00      stwd85     J1728-0007    stwd85     17:28:34.819     6.7e-03   hlk+04     -00:07:45.0      2.9e-01   hlk+04     0.3860037238349      1.5e-12   hlk+04     41.09      3.0e-02   hlk+04     *            0  *          *                               *       *          gb3,pkssw                                        
J1728-3733    mlc+01     J1728-3733    mlc+01     17:28:46.25      1.6e-01   mlc+01     -37:33:08        9.0e+00   mlc+01     0.61553824309        1.6e-10   mlc+01     281.5      7.0e-01   mlc+01     0.19   3.0e-02   mlc+01     *                               *       *          pksmb                                            
J1728-4028    lfl+06     J1728-4028    lfl+06     17:28:27.68      1.7e-01   lfl+06     -40:28:10        4.0e+00   lfl+06     0.866342509          4.0e-09   lfl+06     231        1.0e+01   lfl+06     0.69         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1729-2117    btb+14     J1729-2117    btb+14     17:29:10.808     6.0e-03   btb+14     -21:17:28        1.0e+00   btb+14     0.0662928992668      4.0e-13   btb+14     34.49      4.0e-02   btb+14     0.20         0  btb+14     *                               *       *          htru_pks                                         
J1730-2304    lnl+95     J1730-2304    lnl+95     17:30:21.6611    3.0e-04   vbc+09     -23:04:31.29     8.0e-02   vbc+09     0.00812279804398456  1.4e-16   vbc+09     9.617      2.0e-03   vbc+09     3.9    1.9e+00   mhb+13     *                               *       *          pks70,pkssw,pksmb,htru_pks                       
J1730-2900    lfl+06     J1730-2900    lfl+06     17:30:08.28      1.0e-01   lfl+06     -29:00:46        1.2e+01   lfl+06     1.5384267263         3.0e-10   lfl+06     289        5.0e+00   lfl+06     0.13         0  lfl+06     *                               *       *          pksmb                                            
B1727-33      jlm+92     J1730-3350    jlm+92     17:30:32.559     1.2e-02   hlk+04     -33:50:39.4      1.1e+00   hlk+04     0.139460211250       1.8e-11   hlk+04     259        5.0e+00   hlk+04     3.2    3.0e-01   hfs+04     *                               *       *          pks1,pksmb,htru_pks                              
J1730-3353    hfs+04     J1730-3353    hfs+04     17:30:55.58      1.0e-01   hfs+04     -33:53:38        1.2e+01   hfs+04     3.2702418032         5.0e-10   hfs+04     256        1.0e+01   hfs+04     0.38   5.0e-02   hfs+04     *                               *       *          pksmb                                            
J1731-1847    kjv+10     J1731-1847    kjv+10     17:31:17.609823  1.7e-05   nbb+14     -18:47:32.666    3.0e-03   nbb+14     0.00234455954688568  1.1e-16   nbb+14     106.4711   6.0e-04   nbb+14     0.37         0  nbb+14     *                               BTX     nbb+14     htru_pks                                         
J1731-3123    hfs+04     J1731-3123    hfs+04     17:31:00.53      3.0e-02   hfs+04     -31:23:43        4.0e+00   hfs+04     0.75304798900        3.0e-11   hfs+04     354        3.0e+00   hfs+04     0.29   4.0e-02   hfs+04     *                               *       *          pksmb                                            
B1727-47      lvw68      J1731-4744    lvw68      17:31:42.103     5.0e-03   wmp+00     -47:44:34.56     1.4e-01   wmp+00     0.82982878524        5.0e-11   wmp+00     123.33     2.0e-02   wmp+00     12           0  am76       *                               *       *          mol1,mol2,pks70,pkssw,htru_pks                   
J1732-1930    lml+98     J1732-1930    lml+98     17:32:20.02      3.1e-02   hlk+04     -19:30:09        6.8e+00   hlk+04     0.483769998047       8.0e-12   hlk+04     72.43      1.4e-01   hlk+04     0.3          0  gl98       *                               *       *          pks70,htru_pks                                   
J1732-3131    aaa+09c    J1732-3131    aaa+09c    17:32:33.54      3.0e-02   rkp+11     -31:31:23        2.0e+00   rkp+11     0.196543154965       2.0e-11   rkp+11     15.44      3.2e-01   mad12      *            0  *          HE                              *       *          FermiBlind                                       
J1732-3426    lfl+06     J1732-3426    lfl+06     17:32:07.18      7.0e-02   lfl+06     -34:26:05        3.0e+00   lfl+06     0.33288667881        4.0e-11   lfl+06     513.5      1.8e+00   lfl+06     0.24         0  lfl+06     *                               *       *          pksmb                                            
J1732-3729    kbm+03     J1732-3729    kbm+03     17:32:20.81      5.0e-02   kbm+03     -37:29:05        3.0e+00   kbm+03     2.18400134708        1.5e-10   kbm+03     317        3.0e+00   kbm+03     0.31   4.0e-02   kbm+03     *                               *       *          pksmb                                            
B1729-41      mlt+78     J1732-4128    mlt+78     17:32:50.0       1.0e-01   nmc81      -41:28:48        4.0e+00   nmc81      0.6279806844         3.0e-10   nmc81      195.3      4.0e-01   hfs+04     0.63   7.0e-02   hfs+04     *                               *       *          mol2,pksmb,htru_pks                              
J1732-4156    hfs+04     J1732-4156    hfs+04     17:32:48.86      4.0e-02   hfs+04     -41:56:29.6      1.6e+00   hfs+04     0.323434055969       1.3e-11   hfs+04     228.7      1.5e+00   hfs+04     0.22   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1732-5049    eb01b      J1732-5049    eb01b      17:32:47.76686   4.0e-05   vbc+09     -50:49:00.1576   1.1e-03   vbc+09     0.00531255028907845  9.0e-17   vbc+09     56.822     6.0e-03   vbc+09     1.7    3.0e-01   mhb+13     HE                              T2      vbc+09     pkssw,htru_pks                                   
B1730-22      dls73      J1733-2228    dls73      17:33:26.43      3.7e-02   hlk+04     -22:28:37        1.1e+01   hlk+04     0.871682832986       3.0e-12   hlk+04     41.14      3.0e-02   hlk+04     2.3    2.0e-01   hfs+04     *                               *       *          jb1,mol2,pks70,pkssw,pksmb,htru_pks              
J1733-2533    lfl+06     J1733-2533    lfl+06     17:33:25.86      8.0e-02   lfl+06     -25:33:11        1.8e+01   lfl+06     0.65979414168        4.0e-11   lfl+06     242        5.0e+00   lfl+06     0.10         0  lfl+06     *                               *       *          pksmb                                            
J1733-2837    lfl+06     J1733-2837    lfl+06     17:33:33.90      5.0e-02   lfl+06     -28:37:33        8.0e+00   lfl+06     0.76818455674        6.0e-11   lfl+06     225        5.0e+00   lfl+06     0.07         0  lfl+06     *                               *       *          pksmb                                            
J1733-3030    hfs+04     J1733-3030    hfs+04     17:33:58.89      6.0e-02   hfs+04     -30:30:49        7.0e+00   hfs+04     0.362051962860       1.4e-11   hfs+04     636        3.0e+00   hfs+04     0.20   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1733-3322    mhl+02     J1733-3322    mhl+02     17:33:55.21      8.0e-02   mhl+02     -33:22:03        4.0e+00   mhl+02     1.24591463402        8.0e-11   mhl+02     524.0      1.7e+00   mhl+02     0.8    2.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
B1730-37      jlm+92     J1733-3716    jlm+92     17:33:26.754     5.0e-03   jml+95     -37:16:54.6      3.0e-01   jml+95     0.337585823180       3.0e-12   jml+95     153.5      3.0e-01   hfs+04     3.4    4.0e-01   hfs+04     *                               *       *          pks1,pksmb,htru_pks                              
J1733-4005    hfs+04     J1733-4005    hfs+04     17:33:58.64      3.0e-02   hfs+04     -40:05:39.7      1.5e+00   hfs+04     0.561778329077       1.3e-11   hfs+04     317.8      1.1e+00   hfs+04     0.49   6.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1733-5515    bbb+12     J1733-5515    bbb+12     17:33:00.4       3.0e-01   bbb+12     -55:15:40        5.0e+00   bbb+12     1.011233535          8.0e-09   bbb+12     83.9       8.0e-01   bbb+12     *            0  *          *                               *       *          htru_pks                                         
B1732-02      dtws85     J1734-0212    dtws85     17:34:45.66      2.5e-02   hlk+04     -02:12:39.1      1.4e+00   hlk+04     0.839394324968       9.0e-12   hlk+04     65.05      9.0e-02   hlk+04     *            0  *          *                               *       *          gb2                                              
J1734-2415    lfl+06     J1734-2415    lfl+06     17:34:41.6       3.0e-01   lfl+06     -24:15:20        9.0e+01   lfl+06     0.61252373999        1.2e-10   lfl+06     126.3      7.0e-01   lfl+06     0.29         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1734-3333    mhl+02     J1734-3333    mhl+02     17:34:26.9       2.0e-01   elk+11     -33:33:20        1.0e+01   elk+11     1.169340685          5.0e-09   elk+11     578        9.0e+00   elk+11     0.5          0  elk+11     HE[oklk10]                      *       *          pksmb                                            
J1735-0243    blr+13     J1735-0243    blr+13     17:35:48.1       2.0e-01   blr+13     -02:43:48        5.0e+00   blr+13     0.7828869765         5.0e-10   blr+13     55.4       5.0e-01   blr+13     *            0  *          *                               *       *          gb350                                            
B1732-07      ll76       J1735-0724    ll76       17:35:04.9717    1.1e-03   hlk+04     -07:24:52.49     7.0e-02   hlk+04     0.4193349661853      1.1e-12   hlk+04     73.512     4.0e-03   hlk+04     1.7    2.0e-01   lylg95     *                               *       *          misc,mol2,gb2,pks70,pkssw,htru_pks               
J1735-3258    mhl+02     J1735-3258    mhl+02     17:35:56.9       3.0e-01   mhl+02     -32:58:19        1.9e+01   mhl+02     0.35096322944        1.2e-10   mhl+02     754        8.0e+00   mhl+02     0.46   9.0e-02   mhl+02     *                               *       *          pksmb                                            
J1736+05      cnst96     J1736+05      cnst96     17:36:54         1.6e+01   cnst96     +05:48           5.0e+00   cnst96     0.999245             3.0e-06   cnst96     42         8.0e+00   cnst96     *            0  *          *                               *       *          ar4,pkssw                                        
J1736-2457    lfl+06     J1736-2457    lfl+06     17:36:45.44      8.0e-02   lfl+06     -24:57:50        2.2e+01   lfl+06     2.64222343904        1.4e-10   lfl+06     170        4.0e+00   lfl+06     0.52         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1736-2819    hfs+04     J1736-2819    hfs+04     17:36:24.73      9.0e-02   hfs+04     -28:19:42        1.6e+01   hfs+04     1.59241948019        1.3e-10   hfs+04     261        1.1e+01   hfs+04     0.16   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1736-2843    hfs+04     J1736-2843    hfs+04     17:36:42.59      1.6e-01   hfs+04     -28:43:51        2.2e+01   hfs+04     6.4450360861         1.7e-09   hfs+04     331        1.0e+01   hfs+04     0.43   5.0e-02   hfs+04     *                               *       *          pksmb                                            
J1736-3511    kbm+03     J1736-3511    kbm+03     17:36:02.7       3.0e-01   kbm+03     -35:11:56        1.1e+01   kbm+03     0.50280278290        1.3e-10   kbm+03     106        3.0e+00   kbm+03     0.18   3.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1737-0811    blr+13     J1737-0811    blr+13     17:37:47.11235   1.4e-04   blr+13     -08:11:08.887    5.0e-03   blr+13     0.0041750173128551   8.0e-16   blr+13     55.311     3.0e-03   blr+13     *            0  *          *                               BT      blr+13     gb350                                            
J1737-3102    mhl+02     J1737-3102    mhl+02     17:37:33.73      4.0e-02   mhl+02     -31:02:00.5      4.1e+00   mhl+02     0.76867227339        5.0e-11   mhl+02     280        6.0e+00   mhl+02     0.6    1.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1737-3137    mhl+02     J1737-3137    mhl+02     17:37:04.29      4.0e-02   mhl+02     -31:37:21        3.0e+00   mhl+02     0.45043236999        7.0e-11   mhl+02     488.2      1.0e+00   mhl+02     0.8    2.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1737-3320    hfs+04     J1737-3320    hfs+04     17:37:10.51      5.0e-02   hfs+04     -33:20:20        5.0e+00   hfs+04     0.81627308018        6.0e-11   hfs+04     804        5.0e+00   hfs+04     0.35   4.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
B1734-35      jlm+92     J1737-3555    jlm+92     17:37:40.039     6.0e-03   jml+95     -35:55:43.8      4.0e-01   jml+95     0.397584746441       3.0e-12   jml+95     89.41      4.0e-02   jml+95     0.74   8.0e-02   hfs+04     *                               *       *          pks1,pksmb,htru_pks                              
J1738+0333    jac04a     J1738+0333    jac04a     17:38:53.96317   5.0e-05   jac04a     +03:33:10.839    2.0e-03   jac04a     0.0058500957646929   6.0e-16   jac04a     33.778     9.0e-03   jac04a     *            0  *          *                               ELL1    jac04a     pkssw                                            
J1738-2330    lfl+06     J1738-2330    lfl+06     17:38:08.8       3.0e-01   lfl+06     -23:30:47        1.0e+02   lfl+06     1.97884743163        4.0e-11   lfl+06     99.3       1.8e+00   lfl+06     0.48         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1738-2647    hfs+04     J1738-2647    hfs+04     17:38:05.03      4.0e-02   hfs+04     -26:47:46        2.6e+01   hfs+04     0.34959099098        5.0e-11   hfs+04     182.2      1.6e+00   hfs+04     0.44   5.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1738-2955    mhl+02     J1738-2955    mhl+02     17:38:52.24      1.0e-01   mhl+02     -29:55:51        1.0e+01   mhl+02     0.4433980218         4.0e-10   mhl+02     223.4      6.0e-01   mhl+02     0.29   6.0e-02   mhl+02     *                               *       *          pksmb                                            
J1738-3107    hfs+04     J1738-3107    hfs+04     17:38:47.4       3.0e-01   hfs+04     -31:07:44        1.4e+01   hfs+04     0.54949769829        1.3e-10   hfs+04     735        1.0e+01   hfs+04     0.26   4.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
B1735-32      cjlm87     J1738-3211    cjlm87     17:38:54.185     8.6e-03   hlk+04     -32:11:53.6      5.8e-01   hlk+04     0.768498945480       3.0e-12   hlk+04     49.59      4.0e-02   hlk+04     2.8    3.0e-01   hfs+04     *                               *       *          jb2,pks1,pksmb,htru_pks                          
J1738-3316    hfs+04     J1738-3316    hfs+04     17:38:34.45      6.0e-02   hfs+04     -33:16:01.6      4.9e+00   hfs+04     0.73037251102        5.0e-11   hfs+04     273        4.0e+00   hfs+04     0.55   7.0e-02   hfs+04     *                               *       *          pksmb                                            
J1739+0612    jbo+09     J1739+0612    jbo+09     17:39:17.966     4.0e-03   jbo+09     +06:12:28.4      1.0e+00   jbo+09     0.234169035616       3.0e-12   jbo+09     101.5      1.3e+00   jbo+09     *            0  *          *                               *       *          pkssw                                            
J1739-1313    ebvb01     J1739-1313    ebvb01     17:39:57.821     6.0e-03   ebvb01     -13:13:18.6      4.0e-01   ebvb01     1.215697613611       9.0e-12   ebvb01     58.2       5.0e-01   ebvb01     *            0  *          *                               *       *          pkssw,htru_pks                                   
B1736-29      cl86       J1739-2903    cl86       17:39:34.278     4.1e-03   hlk+04     -29:03:03.5      5.4e-01   hlk+04     0.322882431774       9.0e-12   hlk+04     138.56     3.0e-02   hlk+04     2.0    2.0e-01   hfs+04     *                               *       *          jb2,pks1,pksmb,htru_pks                          
J1739-3023    mhl+02     J1739-3023    mhl+02     17:39:39.80      2.0e-02   mhl+02     -30:23:12        2.0e+00   mhl+02     0.11436793182        4.0e-11   mhl+02     170.0      3.0e-01   mhl+02     1.0    2.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1739-3049    mhl+02     J1739-3049    mhl+02     17:39:23.22      6.0e-02   mhl+02     -30:49:40        5.0e+00   mhl+02     0.239317178406       1.8e-11   mhl+02     573.2      2.1e+00   mhl+02     0.5    1.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
B1736-31      cl86       J1739-3131    cl86       17:39:24.304     5.5e-03   hlk+04     -31:31:15.3      5.0e-01   hlk+04     0.52944098843        1.5e-10   hlk+04     600.1      1.2e+00   hlk+04     4.9    5.0e-01   hfs+04     *                               *       *          jb2,pks1,pksmb,htru_pks                          
J1739-3159    mhl+02     J1739-3159    mhl+02     17:39:48.68      8.0e-02   mhl+02     -31:59:49        9.0e+00   mhl+02     0.87756123714        1.5e-10   mhl+02     337        5.0e+00   mhl+02     1.0    2.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1739-3951    lfl+06     J1739-3951    lfl+06     17:39:38.25      4.0e-02   lfl+06     -39:52:00.3      8.0e-01   lfl+06     0.341772476799       1.0e-11   lfl+06     24.6       4.0e-01   lfl+06     0.12         0  lfl+06     *                               *       *          pksmb                                            
J1740+1000    mca00      J1740+1000    mca00      17:40:25.950     5.0e-03   mac+02     +10:00:06.3      2.0e-01   mac+02     0.154087174313       2.0e-12   mac+02     23.85      5.0e-02   mac+02     9.2    4.0e-01   mac+02     *                               *       *          misc,pkssw                                       
B1737+13      mlt+78     J1740+1311    mlt+78     17:40:07.3455    1.2e-03   hlk+04     +13:11:56.69     3.0e-02   hlk+04     0.803050264794       4.0e-12   hlk+04     48.673     4.0e-03   hlk+04     3.9    5.0e-01   lylg95     *                               *       *          mol2,gb3,pkssw,gb4                               
J1740-2540    hfs+04     J1740-2540    hfs+04     17:40:45.32      6.0e-02   hfs+04     -25:40:19        1.8e+01   hfs+04     1.69265634040        9.0e-11   hfs+04     333        5.0e+00   hfs+04     0.16   3.0e-02   hfs+04     *                               *       *          pksmb                                            
B1737-30      cl86       J1740-3015    cl86       17:40:33.82      1.0e-02   fgml97     -30:15:43.5      2.0e-01   fgml97     0.60688662425        4.0e-11   ywml10     152.15     2.0e-02   js06       6.4    7.0e-01   hfs+04     *                               *       *          jb2,pks1,pks70,pksmb,htru_pks                    
J1740-3052    sml+01     J1740-3052    sml+01     17:40:50.001     5.0e-03   bbn+11     -30:52:04.30     2.1e-01   bbn+11     0.570313411724       3.0e-12   msk+12     738.78     8.0e-02   msk+12     0.7    2.0e-01   mhl+02     *                               MSS     msk+12     pksmb,htru_pks                                   
J1740-3327    hfs+04     J1740-3327    hfs+04     17:40:25.72      3.0e-02   hfs+04     -33:27:53.5      1.7e+00   hfs+04     0.515000656402       1.4e-11   hfs+04     274.1      1.5e+00   hfs+04     0.30   4.0e-02   hfs+04     *                               *       *          pksmb,htru_pks                                   
J1740-5340A   dlm+01     J1740-5340A   dlm+01     17:40:44.589     4.0e-03   dpm+01     -53:40:40.9      1.0e-01   dpm+01     0.00365032889720     1.0e-14   dpm+01     71.8       2.0e-01   dpm+01     *            0  *          *                               BT      dpm+01     pksgc                                            
B1738-08      mlt+78     J1741-0840    mlt+78     17:41:22.555     1.7e-02   hlk+04     -08:40:31.8      1.1e+00   hlk+04     2.043082458401       6.0e-12   hlk+04     74.90      5.0e-02   hlk+04     1.4    4.0e-01   lylg95     *                               *       *          mol2,gb2,gb3,pks70,pkssw,htru_pks                
J1741+1351    jbo+07     J1741+1351    jbo+07     17:41:37         6.0e+01   jbo+07     +13:51:44        8.4e+02   jbo+07     0.0037471544         6.0e-10   jbo+07     24.0       3.0e-01   jbo+07     0.93         0  jbo+07     HE[egc+13]                      ELL1    jbo+07     pkssw                                            
J1741-2019    ebvb01     J1741-2019    ebvb01     17:41:06.87      3.0e-02   ebvb01     -20:19:24        5.0e+00   ebvb01     3.90450636119        1.3e-10   ebvb01     74.9       4.0e-01   ebvb01     *            0  *          *                               *       *          pkssw,htru_pks                                   
J1741-2054    aaa+09c    J1741-2054    aaa+09c    17:41:57.23      5.0e-02   rkp+11     -20:53:57        1.9e+01   rkp+11     0.41370012084        1.8e-10   rkp+11     4.7        1.0e-01   crr+09     0.16         0  crr+09     HE                              *       *          FermiBlind                                       
J1741-2719    lfl+06     J1741-2719    lfl+06     17:41:35.06      4.0e-02   lfl+06     -27:19:23        7.0e+00   lfl+06     0.346796929142       1.9e-11   lfl+06     361.9      4.0e-01   lfl+06     0.20         0  lfl+06     *                               *       *          pksmb                                            
J1741-2733    mhl+02     J1741-2733    mhl+02     17:41:01.34      4.0e-02   mhl+02     -27:33:51        7.0e+00   mhl+02     0.89295866978        6.0e-11   mhl+02     149.2      1.7e+00   mhl+02     1.1    2.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1741+2758    fcwa95     J1741+2758    fcwa95     17:41:53.51      2.0e-02   lwf+04     +27:58:09.0      9.0e-01   lwf+04     1.3607376877         4.0e-10   lwf+04     29.3       6.0e-01   lwf+04     *            0  *          *                               *       *          ar4                                              
J1741-2945    mhl+02     J1741-2945    mhl+02     17:41:14.47      4.0e-02   mhl+02     -29:45:35        5.0e+00   mhl+02     0.223557828541       1.5e-11   mhl+02     310.3      1.2e+00   mhl+02     0.6    1.0e-01   mhl+02     *                               *       *          pksmb                                            
J1741-3016    mhl+02     J1741-3016    mhl+02     17:41:07.04      6.0e-02   mhl+02     -30:16:31        1.0e+01   mhl+02     1.89374869377        1.8e-10   mhl+02     382        6.0e+00   mhl+02     2.3    5.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
B1737-39      mlt+78     J1741-3927    mlt+78     17:41:18.081     5.0e-03   zhw+05     -39:27:38.0      2.0e-01   zhw+05     0.512211401067       8.0e-12   wmz+01     158.5      6.0e-01   nmc81      4.7    5.0e-01   hfs+04     *                               *       *          mol2,pks70,pksmb,htru_pks                        
J1742-3957    lfl+06     J1742-3957    lfl+06     17:42:04.43      1.9e-01   lfl+06     -39:57:22        9.0e+00   lfl+06     1.0163491951         4.0e-10   lfl+06     186        8.0e+00   lfl+06     0.14         0  lfl+06     *                               *       *          pksmb                                            
J1742-4616    ebvb01     J1742-4616    ebvb01     17:42:26.10      2.0e-02   ebvb01     -46:16:53.5      4.0e-01   ebvb01     0.412401047219       7.0e-12   ebvb01     115.96     1.4e-01   ebvb01     *            0  *          *                               *       *          pkssw,htru_pks                                   
B1740-03      mlt+78     J1743-0339    mlt+78     17:43:08.18      2.7e-02   hlk+04     -03:39:11.5      1.4e+00   hlk+04     0.44464510677        1.0e-10   hlk+04     30.26      1.1e-01   hlk+04     0.5          0  lylg95     *                               *       *          mol2                                             
B1740-13      stwd85     J1743-1351    stwd85     17:43:37.622     7.4e-03   hlk+04     -13:51:38.0      6.1e-01   hlk+04     0.405336948592       1.0e-11   hlk+04     116.30     3.0e-02   hlk+04     0.5    1.0e-01   lylg95     *                               *       *          gb3,pks70,pkssw,htru_pks                         
J1743-2442    hfs+04     J1743-2442    hfs+04     17:43:20.12      1.0e-01   hfs+04     -24:42:55        4.1e+01   hfs+04     1.24250830909        1.1e-10   hfs+04     239        5.0e+00   hfs+04     0.14   2.0e-02   hfs+04     *                               *       *          pksmb                                            
B1740-31      jlm+92     J1743-3150    jlm+92     17:43:36.685     1.4e-02   hlk+04     -31:50:21.7      1.4e+00   hlk+04     2.41457551997        6.0e-11   hlk+04     193.05     7.0e-02   hlk+04     1.9    2.0e-01   hfs+04     *                               *       *          pks1,pks70,pksmb,htru_pks                        
J1743-3153    mhl+02     J1743-3153    mhl+02     17:43:15.565     1.3e-02   mhl+02     -31:53:05.3      1.7e+00   mhl+02     0.193105399932       7.0e-12   mhl+02     505.7      1.2e+00   mhl+02     0.5    1.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1743-4212    ebvb01     J1743-4212    ebvb01     17:43:05.223     5.0e-03   ebvb01     -42:12:02.4      2.0e-01   ebvb01     0.3061669878595      1.6e-12   ebvb01     131.94     5.0e-02   ebvb01     *            0  *          *                               *       *          pkssw,htru_pks                                   
J1744-1134    bjb+97     J1744-1134    bjb+97     17:44:29.403209  4.0e-06   vbc+09     -11:34:54.6606   2.0e-04   vbc+09     0.004074545940854022 9.0e-18   vbc+09     3.13908    4.0e-05   hbo06      3.1    2.6e+00   mhb+13     HE[aaa+09f]                     *       *          pks70,pkssw,htru_pks                             
J1744-1610    ebvb01     J1744-1610    ebvb01     17:44:16.534     7.0e-03   ebvb01     -16:10:35.8      8.0e-01   ebvb01     1.757205868816       1.6e-11   ebvb01     66.67      1.4e-01   ebvb01     *            0  *          *                               *       *          pkssw,htru_pks                                   
J1744-2335    lml+98     J1744-2335    lml+98     17:44:48.47      5.0e-02   dsb+98     -23:35:55        2.6e+01   dsb+98     1.68350668862        2.0e-11   dsb+98     96.66      2.0e-02   dsb+98     0.2          0  gl98       *                               *       *          pks70,pksmb,htru_pks                             
J1744-3130    mhl+02     J1744-3130    mhl+02     17:44:05.682     1.4e-02   mhl+02     -31:30:04        3.0e+00   mhl+02     1.06606087128        4.0e-11   mhl+02     192.9      7.0e-01   mhl+02     0.7    1.0e-01   mhl+02     *                               *       *          pksmb,htru_pks                                   
J1744-3922    fsk+04     J1744-3922    fsk+04     17:44:02.675     1.0e-02   fsk+04     -39:22:21.1      4.0e-01   fsk+04     0.172444360995       2.0e-12   fsk+04     148.1      7.0e-01   fsk+04     0.11   1.6e-01   brr+07     *                               ELL1    brr+07     pksmb                                            
J1744-5337    bbb+12     J1744-5337    bbb+12     17:44:38.92      4.0e-02   bbb+12     -53:37:51        2.0e+00   bbb+12     0.3556658488         8.0e-10   bbb+12     113        1.0e+00   bbb+12     *            0  *          *                               *       *          htru_pks                                         
J1745-0129    ebvb01     J1745-0129    ebvb01     17:45:02.06      1.0e-02   ebvb01     -01:29:18.1      4.0e-01   ebvb01     1.045406855598       1.8e-11   ebvb01     90.1       1.1e+00   ebvb01     *            0  *          *                               *       *          pkssw                                            
J1745-0952    eb01b      J1745-0952    eb01b      17:45:09.1348    2.0e-04   jsb+10     -09:52:39.682    1.5e-02   jsb+10     0.0193763034411294   1.9e-15   jsb+10     64.474     1.4e-02   eb01b      0.38   3.0e-02   jsb+10     *                               ELL1    jsb+10     pkssw,htru_pks                                   
J1745+1017    bgc+13     J1745+1017    bgc+13     17:45:33.8371    7.0e-04   bgc+13     +10:17:52.523    2.0e-03   bgc+13     0.0026521296710897   4.0e-16   bgc+13     23.970     2.0e-03   bgc+13     *            0  *          HE                              ELL1    bgc+13     FermiAssoc                                       
J1745-2229    hfs+04     J1745-2229    hfs+04     17:45:16.71      7.0e-02   hfs+04     -22:29:14        2.5e+01   hfs+04     1.160592538166       1.9e-11   hfs+04     299        3.0e+00   hfs+04     0.13   2.0e-02   hfs+04     *                               *       *          pksmb                                            
J1745-2900    mgz+13     J1745-2900    mgz+13     17:45:40.164     2.0e-03   sj13       -29:00:29.818    9.0e-02   sj13       3.76363825           1.3e-07   kab+14     1778       3.0e+00   efk+13     *            0  *          AXP,HE                          *       *          misc                                             
J1745-2910    dcl09      J1745-2910    dcl09      17:45:16         3.4e+01   dcl09      -29:10           3.0e+00   dcl09      0.982                      0  dcl09      1088             0  dcl09      *            0  *          *                               *       *          misc                                             
J1745-2912    jkl+06     J1745-2912    jkl+06     17:45:50         1.0e+01   jkl+06     -29:12           2.0e+00   jkl+06     0.1873794            2.0e-07   jkl+06     1130       2.0e+01   jkl+06     *            0  *          *                               *       *          misc                                             
B1742-30      kac+73     J1745-3040    kac+73     17:45:56.305     2.0e-03   zhw+05     -30:40:23.5      2.0e-01   zhw+05     0.367428753855       5.0e-12   hlk+04     88.373     4.0e-03   hlk+04     13.0   1.3e+00   hfs+04     *                               *       *          misc,mol2,jb2,pks1,pksmb,htru_pks                
J1745-3812    bbb+12     J1745-3812    bbb+12     17:45:15.42      4.0e-02   bbb+12     -38:12:07.3      9.0e-01   bbb+12     0.6983528638         2.0e-10   bbb+12     160.8      4.0e-01   bbb+12     *            0  *          *                               *       *          htru_pks                                         
J1746+2245    clm+05     J1746+2245    clm+05     17:46:00.84      3.0e-02   clm+05     +22:45:28.9      8.0e-01   clm+05     3.46503778264        6.0e-11   clm+05     52.0       2.0e+00   clm+05     *            0  *          *                               *       *          ar4                                              
J1746+2540    fcwa95     J1746+2540    fcwa95     17:46:06.87      6.0e-02   lwf+04     +25:40:37.5      1.0e-01   lwf+04     1.0581481703         1.0e-10   lwf+04     51.5       2.0e-01   lwf+04     *            0  *          *                               *       *          ar4                                              
